Dataset,Evaluation type,Method,Alpha,Beta,Width,Bin size,Curve,Evaluation Value,Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,1.00E+05,step,0.390749304,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,2,1,7,1.00E+05,step,0.390749304,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,1.00E+05,step,0.390749304,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,1.00E+05,step,0.390749304,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,1.00E+05,step,0.390749304,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,1.00E+05,step,0.390718371,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.387095818,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.3728484,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.359718696,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.354398892,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.391123571,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,2,1,7,1000,step,0.391123571,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.39174945,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.39251255,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.392228236,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.390961483,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1000,step,0.387030013,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.373081945,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.359652616,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.354511428,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.361591552,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,2,1,7,10000,step,0.361591552,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.361591552,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.361642648,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.360899683,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.360088003,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,10000,step,0.356121071,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.344065154,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.32609687,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.325709696,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.361824067,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,2,1,7,1000,step,0.361824067,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.361642069,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.362395688,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.360815575,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.360277691,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1000,step,0.356161842,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.344084195,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.326096901,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.325709032,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1,Inf,0,1.00E+05,step,0.358846914,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,2,1,7,1.00E+05,step,0.358846914,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.002313162,300,1994,1.00E+05,step,0.358846914,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000693387,1000,6644,1.00E+05,step,0.358846914,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000231076,3000,19932,1.00E+05,step,0.358846914,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000069317,10000,66439,1.00E+05,step,0.358914578,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.355997692,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.343933963,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.326097111,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.325714697,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1,Inf,0,10000,step,0.435267334,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,2,1,7,10000,step,0.435267334,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.002313162,300,1994,10000,step,0.435267334,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000693387,1000,6644,10000,step,0.435282588,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000231076,3000,19932,10000,step,0.433467489,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000069317,10000,66439,10000,step,0.429965151,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,10000,step,0.425245052,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.424592331,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.412645824,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.411380551,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1,Inf,0,1.00E+05,step,0.428888634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,2,1,7,1.00E+05,step,0.428888634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.002313162,300,1994,1.00E+05,step,0.428888634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000693387,1000,6644,1.00E+05,step,0.428888634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000231076,3000,19932,1.00E+05,step,0.428888634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000069317,10000,66439,1.00E+05,step,0.428882287,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.424547906,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.424618616,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.412644259,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.411395999,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1,Inf,0,1000,step,0.442280722,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,2,1,7,1000,step,0.442280722,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.002313162,300,1994,1000,step,0.439348915,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000693387,1000,6644,1000,step,0.435554511,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000231076,3000,19932,1000,step,0.432151998,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000069317,10000,66439,1000,step,0.429939766,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000006931,1.00E+05,664386,1000,step,0.425274098,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.424591582,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.412645903,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.411380111,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.418486734,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.387877091,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.355506494,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,asinh(Fold enrichment),NA,NA,NA,NA,NA,0.424731398,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,asinh(P-value),NA,NA,NA,NA,NA,0.421388401,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,asinh(P-value),NA,NA,NA,NA,NA,0.37597686,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,asinh(P-value),NA,NA,NA,NA,NA,0.278520119,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,asinh(P-value),NA,NA,NA,NA,NA,0.400769065,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,Fold enrichment,NA,NA,NA,NA,NA,0.4299355,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,Fold enrichment,NA,NA,NA,NA,NA,0.36,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,Fold enrichment,NA,NA,NA,NA,NA,0.3282,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,Fold enrichment,NA,NA,NA,NA,NA,0.4156,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.4214987,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.3891,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.3579,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,log(Fold enrichment +1),NA,NA,NA,NA,NA,0.4277,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,P-value,NA,NA,NA,NA,NA,0.4120136,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,P-value,NA,NA,NA,NA,NA,0.3856,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,P-value,NA,NA,NA,NA,NA,0.2831,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,P-value,NA,NA,NA,NA,NA,0.3987,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878,Gene expression analysis,log(P-value+1),NA,NA,NA,NA,NA,0.4214834,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1-hESC,Gene expression analysis,log(P-value+1),NA,NA,NA,NA,NA,0.3789,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC,Gene expression analysis,log(P-value+1),NA,NA,NA,NA,NA,0.2773,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K562,Gene expression analysis,log(P-value+1),NA,NA,NA,NA,NA,0.3997,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1,Inf,0,10000,step,0.345206098,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,2,1,7,10000,step,0.345206098,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.002313162,300,1994,10000,step,0.345206062,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000693387,1000,6644,10000,step,0.318998032,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000231076,3000,19932,10000,step,0.309417047,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000069317,10000,66439,10000,step,0.297473756,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000006931,1.00E+05,664386,10000,step,0.292182455,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,10000,step,0.313174069,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,10000,step,0.360268731,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,10000,step,0.331503267,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1,Inf,0,1.00E+05,step,0.303742666,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,2,1,7,1.00E+05,step,0.303742666,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.002313162,300,1994,1.00E+05,step,0.303742666,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000693387,1000,6644,1.00E+05,step,0.303742666,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000231076,3000,19932,1.00E+05,step,0.303742666,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000069317,10000,66439,1.00E+05,step,0.303772805,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1.00E+05,step,0.293546769,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1.00E+05,step,0.313902865,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1.00E+05,step,0.360875743,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1.00E+05,step,0.331770634,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1,Inf,0,1000,step,0.333817179,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,2,1,7,1000,step,0.333817179,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.002313162,300,1994,1000,step,0.324633227,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000693387,1000,6644,1000,step,0.311845814,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000231076,3000,19932,1000,step,0.305470097,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000069317,10000,66439,1000,step,0.297385504,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000006931,1.00E+05,664386,1000,step,0.292055397,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000693,1.00E+06,6643857,1000,step,0.313055626,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000069,1.00E+07,66438562,1000,step,0.360192923,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM12878-H1hESC,Differential expression,SDPM,1.000000007,1.00E+08,664385618,1000,step,0.331441766,Model 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
